quadrant,variable,impact_value
Q1,treatment,3.3765382011003524
Q2,mu1,1.5466966608264738
Q2,x16,0.9221060417303628
Q2,x6,0.899102483497034
Q2,y_cfactual,0.6697808323481058
Q2,x15,0.6555465938316234
Q3,x18,0.6437501058564878
Q3,mu0,0.6217235580521536
Q3,x9,0.573501799214875
Q3,x22,0.5176736057568023
Q3,x10,0.4972784949569299
Q3,x24,0.4850459516894089
Q3,x25,0.4846406360595546
Q3,x17,0.4768483378581534
Q4,x4,0.4181497935747446
Q4,x23,0.3892891515030448
Q4,x5,0.3740495927621211
Q4,x11,0.3673464047090611
Q4,x14,0.3552664199003827
Q4,x12,0.3424815059945645
Q4,x2,0.3201241695286596
Q4,x7,0.3186044620607601
Q4,x8,0.3140833800008598
Q4,x13,0.2803995489486564
Q4,x20,0.2771797546872541
Q4,x3,0.2566530163871588
Q4,x1,0.2063737364488923
Q4,x21,0.1043592609244534
Q4,x19,0.0552618264700116
