quadrant,variable,impact_value
Q1,treatment,4.660569518916291
Q2,mu1,2.3975884821251396
Q2,x15,1.2745325144045083
Q2,x6,1.084419448875226
Q3,x16,1.0339626276000136
Q3,x9,0.9612858478077758
Q3,mu0,0.9436071391689352
Q3,x23,0.8713481315035199
Q3,x22,0.8631469324278328
Q3,x24,0.7420702079291932
Q3,x10,0.741284663806668
Q4,x25,0.733093651207988
Q4,x18,0.7025991425711223
Q4,x17,0.6766053873901234
Q4,y_cfactual,0.4726687405876698
Q4,x11,0.3548623555445992
Q4,x21,0.3459762202608196
Q4,x14,0.3145695084540498
Q4,x12,0.2843882431029096
Q4,x4,0.2512355048494655
Q4,x8,0.2086960960216944
Q4,x7,0.2066739006372488
Q4,x5,0.1991148000238276
Q4,x2,0.1192347168601729
Q4,x1,0.09623449425895
Q4,x13,0.0905920760045519
Q4,x20,0.0835126280704354
Q4,x19,0.0542075507764781
Q4,x3,0.0002497422901921
