quadrant,variable,impact_value
Q1,treatment,1.0134023163714423
Q2,mu0,0.7144326480940998
Q2,mu1,0.5001665819812259
Q3,x6,0.4974501363386151
Q3,y_cfactual,0.4293394396809664
Q3,x9,0.2204405085240751
Q3,x15,0.2033459955470242
Q3,x10,0.1637339781226076
Q4,x17,0.1525003331385506
Q4,x25,0.1227293195617549
Q4,x23,0.118186347525235
Q4,x4,0.1152479663382057
Q4,x24,0.1139970593868688
Q4,x22,0.1085011267922329
Q4,x16,0.0931853387581749
Q4,x5,0.0913389044447929
Q4,x1,0.0850926791240734
Q4,x11,0.072239847866408
Q4,x14,0.0720028026033596
Q4,x2,0.0546959262118637
Q4,x12,0.0540368943887733
Q4,x7,0.047416238911445
Q4,x18,0.0429184306473803
Q4,x8,0.0279177375986987
Q4,x19,0.0264273727317453
Q4,x13,0.0199456368408287
Q4,x21,0.0146623600720372
Q4,x20,0.013108458946688
Q4,x3,0.000114562991686
